Batch Name,Country,Destination,Hotel,Adults,Children,Check-in & Check-out date Dates,Advance Dates,Start & End Check-in date,Days,Nights,Supplier 1,Supplier 2,Supplier 3,Supplier 4,Supplier 5,Supplier 6,Supplier 7,Supplier 8,Supplier 9,Supplier 10,Supplier 11,Supplier 12,Supplier 13,Supplier 14,Supplier 15,Supplier 16,Supplier 17,Supplier 18,Supplier 19,Supplier 20,Schedule Duration,Schedule Frequency,Which Week?,Which Day of week/month?,Which Month?,Which date of month?,Schedule Time,ErrorMessage
RM_CHS_AF,UNITED STATES - USA,Charleston - SC,,2,,14-02-2019 to 15-02-2019,"7,30,93,180",,,2,Bedsonline,Hotelbeds,,,,,Global Market H1,Global Market H11,,,,,,,,,,,,,10-02-2019 to 16-02-2019,Weekly,1,Thursday,,,14:00:00,No Schedule date exists within given parameters. Please update the specified parameters.
RM_TRN_SA,ITALY,Turin,,2,,,"7,30,93,180",,,2,Bedsonline,Hotelbeds,,,,,Global Market H1,Global Market H11,,,,,,,,,,,,,10-02-2019 to 13-04-2019,Monthly,,,2,2,14:00:00,No Schedule date exists within given parameters. Please update the specified parameters.
RM_ZAZ_AU,SPAIN,Zaragoza,,2,,,"7,30,93,180",,,2,Bedsonline,Hotelbeds,,,,,,,,,,,,,,,,,,,10-02-2019 to 13-04-2019,Monthly,2,Monday,1,,14:00:00,No Schedule date exists within given parameters. Please update the specified parameters.
