Batch Name,Country,Destination,Hotel,Source Market,Adults,Children,Check-in & Check-out date Dates,Advance Dates,Start & End Check-in date,Days,Nights,Supplier 1,Supplier 2,Supplier 3,Supplier 4,Supplier 5,Supplier 6,Supplier 7,Supplier 8,Supplier 9,Supplier 10,Supplier 11,Supplier 12,Supplier 13,Supplier 14,Supplier 15,Supplier 16,Supplier 17,Supplier 18,Supplier 19,Supplier 20,Schedule Duration,Schedule Frequency,Which Week?,Which Day of week/month?,Which Month?,Which date of month?,Schedule Time,is_valid
RM_BF_ES,CANADA,Canadian Rockies,,ES,2,,,,01-05-2019 to 10-05-2019,"Tuesday, Thursday",3,Bedsonline,Hotelbeds,,,,,,,,,,,,,,,,,,,30-12-2018 to 05-01-2019,Weekly,3,Friday,,,10:00:00,0
RM_BF_PT,CANADA,Canadian Rockies,,PT,2,,,"7,30,93,180",,,3,Bedsonline,Hotelbeds,Hotelopia,,,,Global Market H1,Global Market H11,,,,,,,,,,,,,30-12-2018 to 05-01-2019,Weekly,4,Friday,,,10:01:00,0
RM_BF_ID,CANADA,Canadian Rockies,,ID,2,,,"7,30,93,180",,,2,Bedsonline,Hotelbeds,,,,,Global Market H1,Global Market H11,,,,,,,,,,,,,30-12-2018 to 24-03-2019,Monthly,,,2,2,09:00:00,0
RM_BF_BR,CANADA,Canadian Rockies,,BR,2,,,"7,30,93,180",,,2,Bedsonline,Hotelbeds,,,,,,,,,,,,,,,,,,,27-01-2019 to 09-02-2019,Monthly,2,Monday,1,,09:00:00,0
